,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
155,ClG J1252-2927,1.24,12 52 54.4,-29 27 17,2.9166667,2.9166667,0
156,ACO  3526,0.011,12 48 51.8,-41 18 21,16.666666,16.666666,0
157,ACO  1656,0.0234,12 59 44.40,+27 54 44.9,30.0,30.0,0
158,ACO  1689,0.1842,13 11 29.5,-01 20 28,4.0,4.0,0
159,BAX 199.3086-25.5133,0.247,13 14 25.4,-25 15 44,0.187,0.116,0
160,ACO  3558,0.048,13 27 54.8,-31 29 32,20.416666,20.416666,0
161,ACO  1763,0.2312,13 35 20.1,+41 00 04,11.16,11.16,0
162,ACO  1750,0.0856,13 30 50.44,-01 51 27.1,14.583333,14.583333,0
163,ACO  1795,0.063,13 48 50.48,+26 35 07.4,23.333334,23.333334,0
164,ClG J1347-1145,0.45,13 47 30.5,-11 45 07,2.0,2.0,0
165,HCG  68,0.008,13 53 40.9,+40 19 07,9.2,9.2,0
167,ACO  1835,0.2506,14 01 02.07,+02 52 43.2,2.0,2.0,0
169,ACO  1882,0.13773,14 14 24.02,-00 22 39.9,7.9166665,7.9166665,0
170,ACO  1914,0.166,14 26 03.32,+37 49 58.7,7.5,7.5,0
178,ACO  1991,0.05842299,14 54 41.53,+18 38 08.4,16.666666,16.666666,0
179,ACO  1983,0.04487038,14 52 59.33,+16 46 11.0,16.25,16.25,0
181,ACO  2163,0.201,16 15 46.1,-06 08 50,11.0,11.0,0
182,ClG J1504-0248,0.2168,15 04 07.4,-02 48 15,1.0,1.0,0
183,ACO  2050,0.1191,15 16 18.7,+00 05 31,15.0,15.0,0
186,ACT-CL J1521.8+0742,0.04419582,15 21 55.14,+07 41 27.2,21.0,21.0,0
189,ACO  2254,0.176,17 17 45.90,+19 40 22.8,15.333333,15.333333,0
191,ClG J1720+2638,0.1604,17 20 09.6,+26 37 35,1.5,1.5,0
193,ACO  2142,0.0903,15 58 14.38,+27 12 57.8,15.833333,15.833333,0
194,ACO  2261,0.2242,17 22 26.9,+32 07 58,13.76,13.76,0
195,ACO  2069,0.1139,15 24 02.92,+29 53 20.3,5.0,5.0,0
196,ACO  2065,0.0731,15 22 29.3,+27 42 22,20.416666,20.416666,0
199,ACO  2061,0.0783,15 21 19.90,+30 37 13.0,7.5,7.5,0
200,ACO  2034,0.1132,15 10 12.96,+33 29 53.2,12.083333,12.083333,0
201,ACO  2111,0.2291,15 39 40.9,+34 25 04,14.333333,14.333333,0
203,ACO  2199,0.0309,16 28 43.31,+39 34 07.6,21.666666,21.666666,0
206,ACO  3395,0.051,06 27 31.1,-54 23 58,18.466667,18.466667,0
207,ACO S  520,0.295,05 16 37.40,-54 30 01.5,14.0,14.0,0
208,ClG 0657-56,0.296,06 58 29.6,-55 56 39,8.0,8.0,0
209,ACO  3128,0.063,03 29 50.6,-52 34 48,14.0,14.0,0
210,ACO  3158,0.059,03 42 39.6,-53 37 50,21.666666,21.666666,0
211,ACO  3017,0.2195,02 25 53.4,-41 54 58,12.166667,12.166667,0
212,ACO  3266,0.0577,04 31 11.9,-61 24 23,25.833334,25.833334,0
213,ACO S 1063,0.351,22 48 45.4,-44 31 42,12.5,12.5,0
214,ACT-CL J2011.4-5724,0.2786,20 11 26.8,-57 25 09,9.333333,9.333333,0
215,ACO  3667,0.0552,20 12 33.68,-56 50 26.3,20.0,20.0,0
217,CDGS 54,0.83,10 02 01.47,+02 13 29.6,3.3333333,3.3333333,0
218,ACO  2717,0.049,00 03 12.9,-35 56 13,18.833334,18.833334,0
219,NAME Hydra I Cluster,0.014,10 36 36.0,-27 31 04,20.416666,20.416666,0
220,ACO  3490,0.069,11 45 19.6,-34 25 59,18.666666,18.666666,0
221,ACO  1644,0.047,12 57 11.6,-17 24 34,23.333334,23.333334,0
222,CDGS 3,0.1172,10 01 42.66,+02 25 49.9,6.25,6.25,0
223,CDGS 15,0.35,10 00 43.71,+01 46 11.4,2.0833333,2.0833333,0
224,XCLASS 2162,0.12,09 59 24.91,+01 46 09.7,6.6666665,6.6666665,0
229,ClG J1226+3332,0.892,12 26 57.7,+33 32 50,5.8333335,5.8333335,0
231,ZwCl 0008+5215,0.104,00 11 37.197,+52 32 31.68,12.0,12.0,0
234,PLCKESZ G287.0+32.9,0.383,11 50 49.20,-28 04 36.5,4.0,4.0,0
236,ACT-CL J0102-4915,0.87,01 02 52.50,-49 14 58.0,1.0,1.0,0
237,ACT-CL J0438.2-5419,0.4224,04 38 17.70,-54 19 20.7,10.0,10.0,0
238,ClG 1821+64,0.299,18 21 56.7276,+64 20 55.841,4.0,4.0,0
246,MCS J1752.0+4440,0.366,17 52 02.2,+44 40 38,3.3,3.3,0
251,ZwCl 0017+0320,0.26908,00 19 38.6,+03 35 57,9.666667,9.666667,0
261,CXOU J092053.0+302800,0.2894,09 20 52.5,+30 27 40,6.36,6.36,0
271,PLCKESZ G100.24-30.45,0.394,23 22 14.900,+28 31 13.50,7.0,7.0,0
276,PSZ2 G180.88+31.04,0.36969,08 07 47.3,+39 46 35,7.5,7.5,0
286,ACT-CL J1234.2+1515,0.28795,12 34 16.1,+15 15 08,9.166667,9.166667,0
300,ACO  2245,0.08638,17 02 38.26,+33 30 10.0,10.833333,10.833333,0
